부도확률(PD),부도_시_손실확률(LGD),부도_시_손실금액(EAD)(단위:십억원),기대신용손실(ECL)(단위:십억원),TIME_x,YEAR,경제성장률,실업률,기준금리,현재경기판단CSI,기업부도율,TIME_y,경제지표_반영된_기대신용손실(Updated_ECL)(단위:십억원)
0.02,0.3617,44808.0,324.14107200000007,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,321.1589741376
0.0241,0.8287,438377.0,8755.12077959,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,8674.573668417772
0.03,0.5194,9783.0,152.438706,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,151.03626990479998
0.01,0.889,2240.0,19.913600000000002,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,19.730394880000002
0.0125,0.3312,21918.8,90.74383200000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,89.9089887456
0.02,0.4564,8.0,0.07302399999999999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.07235217919999999
0.0241,0.9516,643.6,14.760039216,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,14.624246855212798
0.03,0.3561,0.02,0.00021366,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.000211694328
0.01,0.8656,0.15,0.0012984000000000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.00128645472
0.0125,0.3933,141.0,0.69319125,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.6868138905
0.02,0.7454,0.03,0.00044723999999999995,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.0004431253919999999
0.0241,0.0948,45338.0,103.58282184,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,102.62985987907199
0.03,0.593,441851.7,7860.541742999999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,7788.2247589643985
0.01,0.8199,9746.0,79.907454,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,79.17230542319999
0.0125,0.5128,2386.0,15.294260000000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,15.153552808
0.02,0.0903,23255.4,41.9992524,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,41.61285927792
0.022799999999999997,0.7836,8.0,0.14292863999999997,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.14161369651199995
0.03,0.794,706.6,16.831212,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,16.6763648496
0.01,0.3898,0.02,7.796e-05,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,7.7242768e-05
0.0125,0.0657,0.16,0.0001314,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.00013019112
0.02,0.4511,111.0,1.0014420000000002,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.9922287336000001
0.022799999999999997,0.0259,0.03,1.7715599999999997e-05,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,1.7552616479999994e-05
0.03,0.577,50870.0,880.5596999999999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,872.4585507599999
0.01,0.2519,515821.4,1299.3541066,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,1287.4000488192798
0.0125,0.3655,10140.0,46.327125,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,45.90091545
0.02,0.1742,2312.0,8.055008,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,7.9809019264
0.022799999999999997,0.1631,23446.4,87.18965875199999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,86.38751389148158
0.03,0.0191,11.0,0.006303,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.006245012399999999
0.01,0.1522,554.0,0.843188,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.8354306704
0.0125,0.3689,0.02,9.2225e-05,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,9.137653e-05
0.0225,0.3883,0.11,0.0009610425,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.0009522009089999999
0.022400000000000003,0.8483,144.0,2.736276480000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,2.7111027363840003
0.0325,0.2733,0.02,0.00017764499999999998,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.00017601066599999996
0.0125,0.4261,45810.0,243.99551250000002,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,241.750753785
0.0125,0.6431,496855.3,3994.0955428750003,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,3957.34986388055
0.0225,0.9545,10846.0,232.93140749999998,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,230.78843855099996
0.022400000000000003,0.7627,2082.0,35.56988736,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,35.242644396288
0.0325,0.2646,22584.3,194.21368784999999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,192.42692192177998
0.0125,0.0182,9.0,0.0020475000000000003,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.002028663
0.0125,0.2978,743.1,2.76618975,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,2.7407408042999997
0.0225,0.0143,0.02,6.435e-06,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,6.3757979999999995e-06
0.022400000000000003,0.4802,0.15,0.0016134720000000003,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.0015986280576000002
0.0325,0.453,125.0,1.8403125000000002,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,1.8233816250000001
